title,description,genre,published_date,authors
martin farrell,at a time when scotland is ruled by feuding families violence and superstition are rife when martin farrell a poor peatcutters son finds he is the joint heir of the two most powerful families in the land he is caught up in their bloody hatred,historical fiction,1994,janni howker
middlemarch,one of the most accomplished and prominent novels of the victorian era middlemarch is an unsurpassed portrait of nineteenthcentury english provincial life dorothea brooke is a young woman of fervent ideals who yearns to effect social change yet faces resistance from the society she inhabits in this epic in a small landscape eliots large cast of precisely delineated characters and the rich tapestry of their stories result in a wise compassionate and astute vision of human nature as virginia woolf declared george eliot was one of the first english novelists to discover that men and women think as well as feel and the discovery was of great artistic moment,historical fiction,1964,george eliot
angels in the gloom,its march 1916 and joseph reavley stumbling across the wastes of no mans land to rescue a comrade is badly wounded sent home on sick leave he finds recovery slow and hard his sister hannah is caring for him but he cant share the grim reality of life in the trenches with her  anxious as she is about archie her husband away at sea war is changing england at a pace that hannah finds alarming and she wonders if the old certainties will ever return but its a delight to both her and joseph when shanley corcoran an old friend comes to visit corcoran confides in joseph that hes come very close to completing an invention that will paralyse the deadly german uboats soon afterwards however disaster strikes a brilliant young scientist is found murdered and its clear that someone has been betraying secrets to the enemy josephs brother matthew of the sis comes down to investigate and together the two men embark on a search that will solve the crime and lead them to the spy,historical fiction,2005,anne perry
desired by the dukethe dukes unexpected bridehigh seas to high society,the dukes unexpected bride  lara temple sophie trevelyan has been enjoying her visit to london even if her closest companion is an overweight pug then she encounters the dashing duke of harcourt who intrigues her more than is strictly proper max knows he must marry hes looking for the opposite of his highspirited fiancée who died some years ago so he tries to keep his distance from bubbly sophie but when her life is endangered max feels compelled to rescue herwith a very unexpected proposal high seas to high society  sophia james asher wellingham duke of carisbrook was captivated by her he had happened upon lady emma seaton swimming naked and beyond her beauty had seen the deep curling scar on her thigh  a wound that could only be the mark of a sword who was this creature of contradictions something about her brought back tantalizing memories from the past her illfitting threadbare clothes concealed the body of an angel but what kind of woman truly lay behind her refined mask highborn lady or artful courtesan she intrigued him and asher wanted to possess both,historical fiction,2021,sophia james lara temple
his substitute wife,a convenient marriage blake latherop needs a wife in order to keep his business and his betrothed has apparently eloped with another man so when his fiancées sister audrey prescott steps off the train in whisper creek offering to be his bride hes in no position to refuse but its hardly the marriage he had in mind audrey knows she shouldnt have answered blakes letters in her sisters namebut she couldnt bring herself to tell him of his fiancées betrayal now the only way to fix things is through a temporary marriage but as she comes to love her new life in the west audrey dreads the day blake finds another solution to their situation because what started as a marriage of convenience has become so much more for her,historical fiction,2017,dorothy clark
the fallen woman,botanical artist jane saville is devastated when her manipulative mother banishes her to the countryside to protect someone elses honour isolated far from home she is forced to live an impoverished secretive life to save the family from public shame guy attwood is heir to a fortune but prefers his quiet passion for rareapple hunting on behalf of royal kew gardens to building the familys business empire he sets out to find a critically endangered apple species that he dreams of gifting and renaming for his friend the soontobe coronated george v when the paths of these people from two very different worlds collide jane begins to hope for a different future but their new friendship is shattered by jealousy misunderstanding duty and treachery a young boy will inspire jane to defy the powers working against her and prove she is no woman to be outcast set in the picturesque english countryside in a forgotten orchard and beneath the ancient spire of salisbury cathedral this is a heartwrenching story about a woman who finds that in her darkest hour she can harness her greatest strength,historical fiction,2024,fiona mcintosh
the strangled queen,this was the original game of thrones george rr martin the king is dead long live the king philip iv is dead and his great kingdom is in disarray it seems the fatal curse of the templars is plaguing the royal house of france his son has been enthroned as louis x but with his disgraced wife marguerite imprisoned in the chateau gaillard for her adultery louis can produce no heir with which to secure the succession but neither can he marry again while she lives the web of scandal murder and intrigue that once wove itself around the court of the iron king continues to draw in his descendants as the destruction of his dynasty continues apace,historical fiction,2013,maurice druon
the resistance girl,the next gripping and emotional world war ii historical fiction read from international bestseller mandy robotham,historical fiction,2022,mandy robotham
the paris deception,sophie dix fled stuttgart with her brother as the nazi regime gained power in germany now with her brother gone and her adopted home city of paris conquered by the reich sophie reluctantly accepts a position restoring damaged art at the jeu de paume museum under the supervision of the err  a german art commission using the museum as a repository for art theyve looted from jewish families,historical fiction,2023,bryn turnbull
warriors of god,the second volume of the hussite trilogy by the new york times bestselling author of the witcher takes reynevan  scoundrel magician possibly a fool  into the depths of war as he attempts to navigate the religious fervors of the fifteenth century when the hussite leaders entrust reynevan with a dangerous secret mission he is forced to come out of hiding in bohmeia and depart for silesia at the same time he strives to avenge the death of his brother and discover the whereabouts of his beloved once again pursued by multiple enemies he must contend with danger on every front full of gripping action replete with twists and mysteries seasoned with magic and sapkowskis everpresent wit fans of the witcher will appreciate this rich historical epic set during the hussite wars praise for the the tower of fools book one of the hussite trilogy this is historical fantasy done right publishers weekly starred review a fantastic novel that any fan of the witcher will instantly appreciate the gamer a ripping yarn delivered with worldweary wit bursting at the seams with sex death magic and madness joe abercrombie sapkowskis energetic and satirical prose as well as the unconventional setting makes this a highly enjoyable historical fantasy booklist also by andrzej sapkowski the hussite trilogy the tower of fools warriors of god witcher collections the last wish sword of destiny witcher novels blood of elves the time of contempt baptism of fire the tower of swallows lady of the lake season of storms the malady and other stories an andrzej sapkowski sampler eonly translated by david french,historical fiction,2021,andrzej sapkowski
paper sparrow,paper sparrow is a historical novel inspired by reallife events australia 19431955 peggy is born to circumstances that deny her opportunities afforded to others at thirteen she is forced to work as a nursing aide in a home for the elderly aged fourteen she is drugged raped and pregnant peggys dark journey reveals a massive baby farming industry untold sufferings and lifelong consequences to thousands of postwwii victimssingle women their babies are the stolen white generation peggy meets peter a man of the cloth bineham a master of chinese psychology and lily a welfare officer fighting for social justice they foster her potential and lighten her journey peggys baby is kidnapped from the birthing table and sold to a ruthless couple peggy incites reform through civil society to end social prejudice against single mothers and their children fortune brings work in the fashion industry and a scholarship that will lead to a career in live theatre a heartrending meeting with her child and a sordid society party meant to launch her in the miss australia quest destroy her will to live yet peggy miraculously survives a deepsea baptism and finds the strength to promote benevolence communication and beauty,historical fiction,2021,magda palmer
one little sin,sir alasdair maclachlan is a dashing manabouttown and his rakish behaviour towards women have gained him a notorious reputation but now his cavalier past is about to catch up on him when a beautiful stranger turns up on his doorstep complete with a basket full of surprises,historical fiction,2007,liz carlyle
the deep enders deadline,dive into the heart of a cutthroat town in dave reardons detective fiction story that is full of mystery action and unbreakable bonds,historical fiction,2024,dave reardon
rainbows on the moon,a young missionary sent to hawaii with her new husband to convert the natives emily stone fights her developing feelings toward a handsome captain stationed there and makes friends with chiefess pua and her daughter mahina until a tragedy forces her to leave,historical fiction,2014,barbara wood
the adventurer,the latest romance from this author follows the fortunes of a man determined to raise himself above the drudgery of a ninetofive job when he accidentally overhears about the death of the only son of a wealthy financier he takes fate into his own hands and goes to offer his condolences from the author of the mask of love,historical fiction,1997,barbara cartland
orchids and diamonds,begining her career at the house of landell in 1907 paris juliette meets and falls in love with nikolai karasvin a russian count pursuing a career as a sculptor but they are soon separated by world war i,historical fiction,1995,rosalind laker
the gates of hell,a campaign of murder as alexander nears his greatest challenge it is 334bc alexander and his troops have crossed into asia and shattered the persian army at the battle of the granicus marching south he has conquered all in his path including the great city of ephesus but he knows and his enemies know that the great prize is the city of halicarnassus strategically important and with fortifications to make any attacker despair alexander by now known as great besieger of cities must take halicarnassus the city has a link with his own past his difficult relationship with his father he needs to prove something to himself the cities commanders alexanders old enemy memnon of rhodes the persian orontobates and the greek renegade ephialtes plot to ensure that alexander will meet his nemesis at their gates fortifications are redoubled and a trap is prepared this time surely they will bring down the macedonian wolf and bring his dreams of conquest to nothing alexanders court is set up close to the city and his physician and boyhood friend telamon is there even as alexander brings up his troops for one of the most dramatic confrontations in the ancient world a s,historical fiction,2003,p c doherty
city of spies,foyles war meets the bletchley circle in this thriller where no one is who they claim to be,historical fiction,2020,mara timon
the henna artist,escaping from an abusive marriage seventeenyearold lakshmi makes her way alone to the vibrant 1950s pink city of jaipur there she becomes the most highly requested henna artist  and confidante  to the wealthy women of the upper class but trusted with the secrets of the wealthy she can never reveal her ownknown for her original designs and sage advice lakshmi must tread carefully to avoid the jealous gossips who could ruin her reputation and her livelihood as she pursues her dream of an independent life she is startled one day when she is confronted by her husband who has tracked her down these many years later with a highspirited young girl in tow  a sister lakshmi never knew she had suddenly the caution that she has carefully cultivated as protection is threatened still she perseveres applying her talents and lifting up those that surround her as she doespublisher description,historical fiction,2021,alka joshi
the long drop, daily telegraphscotland on sunday,historical fiction,2017,denise mina
all souls rising,the 1791 revolt against the french in haiti through the eyes of the parties in the conflict mulattos blacks and whites the protagonists include its tragic leader the aristocratic toussaint louverture who refused to declare independence from france a tale of burning plantations massacres and byzantine politics,historical fiction,1995,madison smartt bell
the girl from the channel islands,new york times bestseller  inspired by the true story of a young jewish girl  hedy bercu  who fled to jersey from vienna only to find herself trapped on the island during the german occupation,historical fiction,2021,jenny lecoat
twobits,they said he was not worth twobits a mere quarter of a dollar but to those who came to know him he proved that he was worth far morethe story  the life of a cavalry horse was not an easy one twobits and other horses like him shared hard service and danger with the soldiers who rode them those men fortunate enough to ride twobits soon became aware that he was a different kind of horse a special horse a horse they could trust with their lives his courage and loyalty saved his riders more than once soldiers of all ranks came to rely on him in times of danger he never failed them they never forgot himthe history  twobits was a real cavalry horse during his career he served with the regiment of mounted riflemen the third united states cavalry regiment the first regiment of new mexico cavalry and lastly as an officers mount in the fifth united states infantry with the exception of a few horses of famous generals the service of the millions of other horses was seldom recorded unless they performed an outstanding feat twobits was an exception because he demonstrated remarkable qualities and performed amazing exploits throughout his service his last owner lieutenant charles albert curtis recognized twobitss special qualities and recorded his story few others can match itbook extra  includes the original november 1889 st nicholas childrens magazine article by captain curtis that inspired this book,historical fiction,2013,robert j trout
the lady from burma,in allison montclairs the lady from burma murder once again stalks the proprietors of the right sort marriage bureau in the surprisingly dangerous landscape of postworld war ii london,historical fiction,2023,allison montclair
take heart,halley st john was thrilled when she inherited a ranch in wilder wyoming the penniless exsocialite was in dire straits and knew the ranch was her only life but life on the rough frontier is harder than halley expectedespecially when some of the locals try to drive her out of town soon halley proves her mettle with the men in town by refusing to buckle under their pressureand gains the respect of a handsome rancher in the process,historical fiction,1996,lisa higdon
the valley of death,during the crimean war renowned as one of the most brutal and bloody conflicts of the nineteenth century sergeant jack crossman is part of the proud 88th regiment the connaught rangers tough shrewd and skilful he is singled out to go on a secret mission to undermine the russian defenses in the besieged city of sebastopol almost killed in his attempt he returns just in time to take his place in the thin red line at the battle of balaclava where he will witness the tragic and hopeless charge of the light brigade,historical fiction,1999,garry douglas
summer at mount hope,from the bestselling author of the dressmaker now a major motion picture starring kate winslet in cinemas october 2015 phoeba crupp is a young woman who lives with her parents and sister on a small farm near geelong in the 1890s her father is an eccentric exaccountant who moved his family from the city in order to establish a vineyard a decision her mother bitterly  and loudly  resents while her sister makes a play for the local squatters son phoeba is content with her best friend harriet until circumstances push her towards the world of men and money like hams first novel the dressmaker summer at mount hope is a black comedy which also contains a more serious strand about the efforts of a woman a century ago to be free,historical fiction,2005,rosalie ham
the rice kings book three,life and times of jonathan lucas i,historical fiction,2020,david henry lucas
the splintered kingdom,england 1070 renowned for his exploits the knight tancred has become a lord in his own right with men to command and a manor to call home on the turbulent welsh marches but his hardfought gains are soon placed in peril as the normans newly won kingdom falls under siege on all sides a coalition of enemies both old and new prepares to march and king williams fragile hold on england is brought to breaking point amidst the turmoil and with rivals seeking to undermine him tancred is chosen to lead an expedition deep into wales his sternest challenge yet it will be either his chance for glory or his undoing,historical fiction,2012,james aitcheson
the sapphire child,in the dying days of the raj can paths divided by time and circumstance ever find each other again in 1930s northern india childhood friends stella and andrew have grown up together in the orbit of the majestic raj hotel spirited stella has always had a soft spot for boisterous andrew though she dreams of meeting a soulmate from outside the closeknit community but life is turned on its head when one scandal shatters their friendship and another sees her abandoned by the man she thought she loved as the second world war looms andrew joins the army to fight for freedom meanwhile in india stella reeling from her terrible betrayal also throws herself into the war effort volunteering for the womens auxiliary corps resigned to living a lonelier life than the one she dreamed of as a child when andrew returns to the east on the eve of battle with japan the two former friends are reunited though bitter experience has changed them can they rekindle what they once had or will war demand of their friendship the ultimate sacrifice,historical fiction,2020,janet macleod trotter
a court of betrayal,anne obrien gets right inside the heads of her characters joanna hickson a terrific storyteller the daily telegraph alls fair in love and war the welsh marches 1301 strongwilled heiress johane de geneville is married to richard mortimer earl of march at just fifteen years old soon johane finds herself swept up in a world of treacherous court politics and dangerous secrets as her husband deposes edward ii and rules england alongside queen isabella yet when richard is accused of treason she is robbed of her freedom and must survive catastrophic events in her fight for justice  with her life and her childrens hanging in the balance will she pay for her husbands mistakes or will she manage to escape from a terrible fate,historical fiction,2024,anne obrien
the long shadow,in the morland dynasty series the majestic sweep of english history is richly and movingly portrayed through the fictional lives of the morland family it is 1670 and morland place has flourished under ralphs stewardship while annunciata is a great lady of the court splendid futures seem to be promised for her children but the religious rift opened by henry viii has never been fully healed and conflict resurfaces at the accession of the catholic james ii frightening times ensue when it is impossible to know who to trust annunciata herself is put on trial while jealousy betrayal and sudden death threaten her family and in the shadow of revolution comes a new love to annunciata one that can only lead to tragedy,historical fiction,1983,cynthia harrodeagles
yankee mission,1812 off the coast of brazil hms java a proud british 38gun frigate is captured in battle by the american uss constitution  signaling across the worlds oceans a challenge to britains naval premiership that cannot be ignored back in england captain sir thomas kydd is enjoying a moment of normal life with his wife and his newborn son with his thunderer in dock receiving some wellearned repairs he is momentarily without a command its a position the admiralty does not leave him in for long and he is soon given a mission engage the young republic in a fair fight frigate against frigate and restore the navys reputation and they have just the ship and crew for him    tyger but on reaching the us east coast kydd and his trusted tygers realizes that the hardest part of their mission will be drawing out one of the yankee menowar to engage in battle  especially once the americans get wind of his purpose its a tall order requiring every ounce of the crews guile and persistence  and when fortune turns against them kydd finds not only his career but his life hanging in the balance,historical fiction,2023,julian stockwin
lost seeds,shaped by the ghost of their parents former enslavement two brothers dub and tim must decideconfront the past or suffer the consequences forever in this riveting continuation of the brisco family saga brothers dub and tim strive to persevere against their early 1900s postslavery beginningsclashing with their history of family trauma and their different coping mechanisms for living in a world that doesnt accept them while dub becomes a respected coal miner and finds prosperity for his family tim continues a slow descent into a fog of psychosis alcoholism and perpetual joblessnessforced to live an isolated existence on dubs property despite his desire for deeper connection when the ultimate tragedy strikes and the family is forced to confront the deepseated racism of their small town and the resentments they hold toward one another the brothers are forced to confront the wounds of their past leaving them wondering if their actions are the toll exacted for the next generations progress will they overcome their disparate lives and animosity toward one another and come together to protect the next generation or is it too late set against the backdrop of 1960s america lost seeds the legacy is a suspenseful tale of love heartbreak and the enduring bonds of brothers as the echoes of personal and collective history reverberate through the lives of dub tim and their descendants their story serves as a powerful reminder that sowing the seeds of progress is often paid in blood sweat and fractured pieces of the heart,historical fiction,2024,teresa mosley sebastian
nothing left to fear from hell,a battle lost a daring escape a long walk into obscurity the ultimate failurein the aftermath of the disastrous battle of culloden a lonely figure takes flight with a small band of companions through the islands and mountains of the hebrides his name is charles edward stuart better known today as bonnie prince charlie he had come to the country to take the throne now he is leaving in exile and abject defeatin prose that is by turns poetic comic macabre haunting and humane multi awardwinning author alan warner traces the frantic last journey through scotland of a man who history will come to define for his failure,historical fiction,2023,alan warner
the dreamtime,a young boy finds that his gifts for drawing and shaping figures from clay ostracize him from his people and wanders from tribe to tribe in search of understanding,historical fiction,1967,henry treece
lady sarahs redemption,when lady sarah miles becomes the sole survivor of a shipwreck she assumes the identity of her illfated travelling companion to avoid an arranged marriage masquerading as governess to the daughter of dashing roland hawthorne the mutual attraction between sarah and her employer quickly turns to love but sarahs past returns to haunt her revealing more secrets than just her false identity determined to redeem herself in rolands eyes she unwittingly plays into the hands of an unexpected adversary with sarahs honour at stake can rolands daring plan succeed or will the woman he loves be lost to him forever,historical fiction,2014,beverley eikli
a suitable heir,secrets and lies can destroy a marriage eleanor finch loves to paint and she loves babies her six siblings are all married with babies lots of babies and she is desperate to escape her lonely existence and have a family of her own viscount julian heyer a childless widower is looking for a wife who can provide him with an heir rich charming and an art lover he finds eleanor with her large family and wide hips a perfect candidate love blossoms five childless years later eleanor is blamed and julian becomes cruel in his disappointment he needs an heir and refuses to accept he may be infertile divorce looms robert heyer julians evil twin is dying and hell bent on wreaking julians life before he goes robert sends eleanor on a quest to expose the dark family history of infertility infidelity insanity murder and suicide but will roberts dying words prompt eleanor to do the unthinkable and find the courage to achieve her dreams,historical fiction,2023,elsie king
the black earth,1922 young zoe haggitiris is forced to flee with her family during the turkish invasion of smyrna when tragedy strikes in the midst of their escape zoe is found floating alone in the icy waters and is rescued by a passing ship caught up in a sea of desperate refugees her life is touched by an english boy tom collyer before the compassion of a stranger leads her into a new life 1941 greece in the chaos of the british retreat tom and zoe are briefly reunited before fate cruelly separates them once more tom will discover that the war will not end so easily for either of them and if they can find their way back to each other that nothing will ever be the same,historical fiction,2019,philip kazan
deception,a world of counterfeit and corruption inside the life of lady grace favourite maid of honour of queen elizabeth,historical fiction,2005,grace cavendish jan burchett
village school,chronicles events in the village year  harvest festivals annual outings and all the goingson of the village school,historical fiction,1955,miss read
a suitable bride,miss harriet evans can shift cows rotate crops and breed pigs but has managing her brothers estate scared off potential suitors harriet would love a family of her own but at twentyfour has she lost her chance of happiness rather than be a dependent spinster harriet wants her own farm but her family disagrees and shes despatched to london to secure a suitable husband captain allister clarens never wanted to be an earl now he has an impressive title massive debt starving tenants unpaid servants and a family to support but hes a soldier and knows his duty he goes to london to find a suitable heiress friendship blossoms and harriet agrees to help allister find a bride four exceedingly rich candidates are selected thwarted love shamefully acquired fortunes and appalling relatives dash the hopes of three of the candidates but lydia looks promising love blooms but will allisters sense of duty prevail and rob harriet of her chance to be the most suitable bride of all,historical fiction,2024,elsie king
the crimson thread,this tapestry thing is very cool and all phoebe said but we just want to get back to our dad can you help us or not yes i can help you but only if you help me sophia replied sure what do you need asked derek cords and threads stained by blood on an archeological trip to turkey sixteenyearold derek paloma and his fourteenyearold sister phoebe experience an earthquake and are separated from their father while exploring an ancient underground city in cappadocia there they stumble upon a mysterious deteriorated tapestry and a time traveler named yaldar together they travel through centuries recovering the needed threads which they bring to the weaver sophia to reconnect the panels and restore the tapestry of time will derek be able to collect a thread from yeshuas robe will phoebe and derek finish their job so they can reunite with their father what is the crimson thread only the tapestry of time will tell,historical fiction,2021,brad pelsue
kerry postle,dont miss the next enthralling story from kerry postle author of a forbidden love coming soon,historical fiction,2019,kerry postle
playing beatie bow,a thrilling adventure story for children and young adults by park ruth playing beatie bow follows abigail as she suddenly finds herself in the sydney of a hundred years ago as the result of a scary game,historical fiction,1982,ruth park
the river of fire,wapping london march 1799 a sunken lugger in the pool of london at last reveals its shocking secret river surveyor tom pascoe of the marine police finds the bodies of two men entombed in the crews cabin suspicion falls on a third member of the crew seen fleeing the scene,historical fiction,2014,patrick easter
always a stranger,when two worlds collide anything is possible   an international affair londons great exhibition has taken the city by storm as its newest royal commissioner lord skyler ridgemont must ensure the performers are properly contracted among them is the delicate and graceful hanako sumaki draped in vivid silk robes hanakos exotic japanese fan dance captivates skylerand he longs to learn more about her   but hanakos enigmatic employer keeps his exquisite charge very close the consummate artist she shows the handsome nobleman many faces but never her true heart which holds a desperate secret when skyler learns the real reason hanako has been brought to london he will risk his entire world to win her trustand save her from losing both body and soul its a feat that will require the type of courage only love can give  ,historical fiction,2014,amara royce
the map of bones,the stunning conclusion to the joubert family chronicles has arrivedmosse is a master storyteller  madeleine miller bestselling author of circetheir journey is over but their story has just begun a sweeping and epic story of adventure and courage injustice and triumph the map of bones by kate mosse is the sequel to the number one bestselling the ghost shipolifantshoek southern africa 1688 when the violent cape wind blows from the southeast they say the voices of the unquiet dead can be heard whispering through the deserted valley suzanne joubert a huguenot refugee from wartorn france is here to walk in her cousins footsteps louise reydonjoubert the notorious shecaptain and pirate commander landed at the cape of good hope more than sixty years ago then disappeared from the record as if she had never existed suzanne has come to find her  to lay the stories to rest but all is not as it seems   franschhoek southern africa 1862 nearly one hundred and eighty years after suzannes perilous journey another intrepid and courageous woman of the joubert family  isabelle lepard  has journeyed to the small frontier town once known as oliftantshoek in search of her longlost relations a journalist and travel writer intent on putting the women of her family back into the history books she quickly discovers that the tragedies and crimes of the past are far from over isabelle faces a race against time if she is not only going to discover the truth but escape with her life   painstakingly researched and beautifully told the map of bones is the fourth  and final  novel of the joubert family chronicles following the bestselling the burning chambers the city of tears and the ghost shippraise for the joubert family chronicleshistorical fiction to devour  anthony horowitz bestselling author of the twist of the knife on the burning chambersan utterly absorbing epic  lucy foley bestselling author of the paris apartment on the city of tearsmeticulously researched and stunningly written  santa montefiore bestselling author of wait for me on the ghost ship,historical fiction,2024,kate mosse
the mammoth hunters,ayla and jondalar embark on a journey that takes them to the mamutoi the mammoth hunters and ayla must make a fateful choice between two menjondalar and ranec the mamutois master carver,historical fiction,1992,jean m auel
secrets of the desert,having discovered a monstrous conspiracy to overthrow the pharaoh ramses the great judge pazair has been deported for a crime he did not commit and sentenced to die in a prison camp but the conspirators have reckoned without the love of neferet the young woman doctor pazair has just married and the courage of suti his friend with the hot head and the generous heart together neferet and suti attempt to rescue pazair so that he can resume his investigation for there are many questions yet to be answered who murdered the veteran guards of the great sphinx who violated the great pyramid and stole the testament of the gods which guarantees pharaohs legitimacy who killed pazairs spiritual master,historical fiction,2005,christian jacq
sleeping beauty and the demon,sleight of hand dragomir starkov poses as an illusionist a showman performing tricks his romanian accent and dark good looks all just a part of the drama thats how rose carlisle first sees him shes a respectable girlshe wouldnt accept witchy birthday gifts from a demon but the hustle and bustle of 1912 new york city offers plenty of ways to slip around the strict old rules of propriety a good thing too because once rose meets drago she no longer cares about being respectable but the only illusion in dragos act is that his magic is smoke and mirrors every word of power he speaks is as real as rose before him in thrall to his lust and adoration drago knows about roses curse that she will die on her next birthday but the shadowy threat that stalks her hasnt won her yet if she can trust him perhaps he can save her too   praise for beauty and the wolf dynamic and sensual paranormal readers will gobble up this sexy read donna grant new york times bestselling author of midnights warrior beauty and the wolf is a deliciously dark retelling of the classic tale that will make you fall in love all over again erin quinn author of the five deaths of roxanne love,historical fiction,2014,marina myles
khontors wrath,what ifa long time ago to avoid extinction the ancient sasquatch interbred with humanswhat ifthe community recovered and for eons lived in harmony with all creationuntil a compassionate act of their healer adia set it all on end coming across an abandoned infant adia rescues the forbidden outsider child and brings it back to kthama the communitys underground home when the leader khontor learns what she has done he takes her act of caring as an affront to his authoritya threat to the peoples welfare she was prepared for him to be angry she was prepared for him to punish her but she was not prepared for khontors wrath,historical fiction,2019,leigh roberts
tour of duty,tour of duty is a fiction novelliterary and historicalset in france 19601966 at the height of the cold war and written with strong characterization conflict and dynamic plots major characters are miles ballard a physician drafted and eager to succeed in providing best care for his patients who frequently clashes with military demands and morality ingrid stern wife of ballards best friend seeking truth about lost relatives and the holocaust alyce read a newspaper journalist documenting capture the suffering and ruination of holocaust victims and survivors,historical fiction,2022,william coles
montana cowboy family,temporary family after discovering one of her young students has been abandoned along with his sisters schoolteacher sadie young whisks them away to the safest place she knowsher own home and when handsome cowboy logan marshal vows to assist her in caring for the children she isnt sure she wants his helpbut she needs it if she lets logan get too close though he may discover the secret shes convinced will be her ruin logan marshall isnt looking for a family but with the parentless children and their unflappable teacher tugging at his heart it appears he has oneat least temporarily the kids would like nothing better than to have a real mother and father and with logan slowly falling for sadie their deepest wishes just might come true,historical fiction,2017,linda carol ford
a game of thrones,fantasyroman,mystery,2011,george r r martin
the narrows,when an infamous serial killer known as the poet reemerges fbi agent rachel walling long haunted by her unsuccessful efforts to bring him to justice receives assistance from lapd detective harry bosch,mystery,2005,michael connelly
tuesday,frogs rise on their lily pads float through the air and explore the nearby houses while their inhabitants sleep,mystery,1991,david wiesner
to the nines,pursuing a skip stephanie travels to las vegas where she meets up with sally sweet joe morelli and ranger and works to outmaneuver a trio of mobsters who are determined to prevent stephanies return home,mystery,2004,janet evanovich
the surgeon,dr catherine cordell investigates when a murderer referred to by the press and the public as the surgeon strikes with a precision that suggests he is a deranged man of medicine,mystery,2001,tess gerritsen
ten big ones,bounty hunter stephanie plum witnesses a gangexecuted robbery and police officer shooting and finds herself targeted by a californiabased killer looking to claim the price that is subsequently placed on her head,mystery,2005,janet evanovich
the runaway jury,the jury in a mississippi tobacco trial appears to be manipulated and controlled,mystery,1997,john grisham
brother odd,loop me in odd onethe words spoken in the deep of night by a sleeping child chill the young man watching over her for this was a favorite phrase of stormy llewellyn his lost love and stormy is dead gone forever from this world in the haunted halls of the isolated monastery where he had sought peace odd thomas is stalking spirits of an infinitely darker nature through twonew york timesbestselling novels odd thomas has established himself as one of the most beloved and unique fictional heroes of our time now wielding all the power and magic of a master storyteller at the pinnacle of his craft dean koontz follows odd into a singular new world where he hopes to make a fresh beginningbut where he will meet an adversary as old and inexorable as time itself st bartholomews abbey sits in majestic solitude amid the wild peaks of californias high sierra a haven for children otherwise abandoned and a sanctuary for those seeking insight odd thomas has come here to learn to live fully again and among the eccentric monks their other guests and the nuns and young students of the attached convent school he has begun to find his way the silent spirits of the dead who visited him in his earlier life are mercifully absent save for the bellringing brother constantine and odds steady companion the king of rock n roll but trouble has a way of finding odd thomas and it slinks back onto his path in the form of the sinister bodachs he has met previously the black shades who herald death and disaster and who come late one december night to hover above the abbeys most precious charges for odd is about to face an enemy who eclipses any he has yet encountered as he embarks on a journey of mystery wonder and sheer suspense that surpasses all that has come before from the hardcover edition,mystery,2007,dean ray koontz
a is for alibi,after serving 8 years for her husbands murder nikki fife is out to find out who really did it,mystery,2005,sue grafton
and then there were none,one by one the guests arrived at the mansion on indian island summoned by a mysterious host and one by one with terrifying meticulousness they were stalked by a cunning murderer utterly bafflingand yet there was a pattern concealed in a nursery rhyme hanging over the fireplace,mystery,2001,agatha christie
the shape of water,follows sicilian detective inspector montalbano as he investigates the suspicious death of an engineer who had made a name for himself in a small town,mystery,2002,andrea camilleri
the road to gandolfo,a wickedly funny robert ludlum youve never met before all the explosive paving of the bourne identity the byzantine treachery of the parsifal mosaic the relentless action of the bourne ultimatum the principal cast general mackenzie hawkings legend hero rogue sam devereaux bright young lawyer from harvard now in the army cant wait to get out general hawkens four exwives a quartet of incredibly endowed women whove formed a club hawkins harem the premise kidnap pope francesco i the most beloved pontiff since john xx iii ransom one american dollar for every catholic in the world the problem pope francesco i says  gentle souls why not,mystery,1982,robert ludlum
twelve sharp,in trenton new jersey bounty hunter stephanie plum is trying to track down a female stalker,mystery,2007,janet evanovich
return to howliday inn,in their fifth adventure the monroe family pets are once again boarded at the chateau bowbow when the monroes go on vacation the kennels creepy goingson continue but this time it appears that murder may have been added to the services illustrations,mystery,2007,james howe
ricochet,detective sergeant duncan hatcher knows he must exercise discretion when investigating a fatal shooting at the home of judge cato laird but he is both suspicious of and attracted to the judges wife,mystery,2006,sandra brown
a purple place for dying,a purple place for dying is the third book in john macdonalds travis mcgee series and mcgee comes upon his most troubling case yet mcgee is brought to the midwest by a big brassy bossy blonde who needs help mona yeoman suspects that her husband has pilfered her trust fund and she wants a divorce mcgees job is to find out what happened to the money mcgee doesnt particularly like yeoman but is tempted to take the case because he needs the money but before he even has a chance to say yes mona is murdered right in front of his eyes and this changes everything what makes things even more mysterious is that her body disappears when the police are called to the scene of the crime,mystery,1995,john dann macdonald
a time to kill,courtroom drama of an inhuman crime,mystery,1992,john grisham
scoob junior novelization scoobydoo,scooby and the gang face their most challenging mystery ever a plot to unleash the ghost dog cerberus upon the world as they race to stop this dogpocalypse the gang discovers that scooby has an epic destiny greater than anyone imagined,mystery,2020,david lewman
