title,description,genre,published_date,authors,processed_description
the last tiara,from new york times and wall street journal bestseller mj rose comes a provocative and moving story of a young female architect in postworld war ii manhattan who stumbles upon a hidden treasure and begins a journey to discovering her mothers life during the fall of the romanovs sophia moon had always been reticent about her life in russia and when she dies suspiciously on a wintry new york evening isobelle despairs that her mothers secrets have died with her but while renovating the apartment they shared isobelle discovers something among her mothers effectsa stunning silver tiara stripped of its jewels isobelles research into the tiaras provenance draws her closer to her mothers pastincluding the story of what became of her father back in russia a man she has never known the facts elude her until she meets a young jeweler who wants to help her but is conflicted by his loyalty to the midas society a covert international organization whose mission is to return lost and stolen antiques jewels and artwork to their original owners told in alternating points of view the stories of the two young women unfurl as each struggles to find their way during two separate wars in 1915 young sofiya petrovitch favorite of the royal household and best friend of grand duchess olga nikolaevna tends to wounded soldiers in a makeshift hospital within the grounds of the winter palace in st petersburg and finds the love of her life in 1948 new york isobelle moon works to break through the rampant sexism of the age as one of very few women working in a maledominated profession and discovers far more about love and family than she ever hoped for in mj roses deftly constructed narrative the secrets of sofiyas early life are revealed incrementally even as isobelle herself works to solve the mystery of the historic romanov tiara which is based on an actual romanov artifact that is to this day still missingand how it is that her mother came to possess it the two strands play off each other in finelytuned counterpoint building to a series of surprising and deeply satisfying revelations,historical fiction,2021,m j rose,new york time wall street journal bestseller mj rose come provocative moving story young female architect postworld war ii manhattan stumble upon hidden treasure begin journey discovering mother life fall romanov sophia moon always reticent life russia dy suspiciously wintry new york evening isobelle despair mother secret died renovating apartment shared isobelle discovers something among mother effectsa stunning silver tiara stripped jewel isobelles research tiara provenance draw closer mother pastincluding story became father back russia man never known fact elude meet young jeweler want help conflicted loyalty midas society covert international organization whose mission return lost stolen antique jewel artwork original owner told alternating point view story two young woman unfurl struggle find way two separate war 1915 young sofiya petrovitch favorite royal household best friend grand duchess olga nikolaevna tends wounded soldier makeshift hospital within ground winter palace st petersburg find love life 1948 new york isobelle moon work break rampant sexism age one woman working maledominated profession discovers far love family ever hoped mj rose deftly constructed narrative secret sofiyas early life revealed incrementally even isobelle work solve mystery historic romanov tiara based actual romanov artifact day still missingand mother came possess two strand play finelytuned counterpoint building series surprising deeply satisfying revelation
miss camerons fall from grace,in a seedy tavern in the backstreets of london a case of mistaken identity leads respectable miss delphine cameron to be unwittingly ravished by a devilish colonel lord stephen fitzwaring now shes had a taste of lovemaking and against her better judgement she craves it again but the colonel has ruined her honor and there is only one way they can avoid a scandaldelphine must marry her darkeyed seducer now lady delphine fitzwaring must decide between a life of chastity  or succumbing to her husbands irresistible temptationpage 4 of cover,historical fiction,2012,helen dickson,seedy tavern backstreets london case mistaken identity lead respectable miss delphine cameron unwittingly ravished devilish colonel lord stephen fitzwaring shes taste lovemaking better judgement craves colonel ruined honor one way avoid scandaldelphine must marry darkeyed seducer lady delphine fitzwaring must decide life chastity succumbing husband irresistible temptationpage 4 cover
fair helen,the scotlandengland borderlands 1590s principal economy cattle rustling kidnap extortion harry langton is called back to the country of his childhood to aide an old friend adam fleming who believes his life is in danger hes fallen for helen of annandale and in turn fallen foul of his rival robert bell a man as violent as he is influential in an ungovernable land where minor lairds vie to rule and blood feuds are settled by the sword fleming faces a battle to win helen and to stay alive,historical fiction,2014,andrew greig,scotlandengland borderland 1590s principal economy cattle rustling kidnap extortion harry langton called back country childhood aide old friend adam fleming belief life danger he fallen helen annandale turn fallen foul rival robert bell man violent influential ungovernable land minor laird vie rule blood feud settled sword fleming face battle win helen stay alive
the knights tale,april 1380 about to set off on his annual pilgrimage geoffrey chaucer abandons his plans when an old friend appeals for help his former guardian has been found dead in his bedroom at his suffolk castle the door locked from the inside who among the castles inhabitants is a coldhearted killer its up to chaucer to root out the evil within,historical fiction,2022,m j trow,april 1380 set annual pilgrimage geoffrey chaucer abandon plan old friend appeal help former guardian found dead bedroom suffolk castle door locked inside among castle inhabitant coldhearted killer chaucer root evil within
frog music,from the author of the worldwide bestseller room her greatest achievement yetemma donoghue shows more than range with frog musicshe shows genius  darin strauss author of half a life summer of 1876 san francisco is in the fierce grip of a recordbreaking heat wave and a smallpox epidemic through the window of a railroad saloon a young woman named jenny bonnet is shot dead the survivor her friend blanche beunon is a french burlesque dancer over the next three days she will risk everything to bring jennys murderer to justiceif he doesnt track her down first the story blanche struggles to piece together is one of freelove bohemians desperate paupers and arrogant millionaires of jealous men icy women and damaged children its the secret life of jenny herself a notorious character who breaks the law every morning by getting dressed a charmer as slippery as the frogs she hunts in thrilling cinematic style frog music digs up a longforgotten neversolved crime full of songs that migrated across the world emma donoghues lyrical tale of love and bloodshed among lowlifes captures the pulse of a boomtown like no other,historical fiction,2014,emma donoghue,author worldwide bestseller room greatest achievement yetemma donoghue show range frog musicshe show genius darin strauss author half life summer 1876 san francisco fierce grip recordbreaking heat wave smallpox epidemic window railroad saloon young woman named jenny bonnet shot dead survivor friend blanche beunon french burlesque dancer next three day risk everything bring jenny murderer justiceif doesnt track first story blanche struggle piece together one freelove bohemian desperate pauper arrogant millionaire jealous men icy woman damaged child secret life jenny notorious character break law every morning getting dressed charmer slippery frog hunt thrilling cinematic style frog music dig longforgotten neversolved crime full song migrated across world emma donoghues lyrical tale love bloodshed among lowlife capture pulse boomtown like
harbor secrets,the first in a new historical series from bestselling awardwinning author melody carlson is sure to rivet readers and sweep them away to oregons early prohibition before wwi,historical fiction,2018,melody carlson,first new historical series bestselling awardwinning author melody carlson sure rivet reader sweep away oregon early prohibition wwi
masqueraders,in an age of slippery politics robin and prudence tremaine the children of the notorious and brilliant viscount of barham find themselves on the wrong side of the jacobite rebellion the viscount sends his offspring on the road to london each masquerading as the opposite sex,historical fiction,2005,georgette heyer,age slippery politics robin prudence tremaine child notorious brilliant viscount barham find wrong side jacobite rebellion viscount sends offspring road london masquerading opposite sex
the warsaw orphan,kelly rimmers heartstopping rendering of the war in nazioccupied poland will captivate readers page by pagelisa wingate 1 new york times bestselling author of before we were yours a surefire hit and a heartbreaking and hopeful story of family duty love salvation and resistance the warsaw orphan is a thoughtful beautiful novel  kristin harmel new york times bestselling author of the book of lost names inspired by the reallife heroine who saved thousands of jewish children during wwii the warsaw orphan is kelly rimmers most anticipated novel since her bestselling sensation the things we cannot say in the spring of 1942 young elzbieta rabinek is aware of the swiftly growing discord just beyond the courtyard of her comfortable warsaw home she has no fondness for the germans who patrol her streets and impose their curfews but has never given much thought to what goes on behind the walls that contain her jewish neighbors she knows all too well about german brutalityand that its the reason she must conceal her true identity but in befriending sara a nurse who shares her apartment floor elzbieta makes a discovery that propels her into a dangerous world of deception and heroism using saras credentials to smuggle children out of the ghetto brings elzbieta facetoface with the reality of the war behind its walls and to the plight of the gorka family who must make the impossible decision to give up their newborn daughter or watch her starve for roman gorka this final injustice stirs him to rebellion with a zeal not even his newfound love for elzbieta can suppress but his recklessness brings unwanted attention to saras cause unwittingly putting elzbieta and her family in harms way until one violent act threatens to destroy their chance at freedom forever from nazi occupation to the threat of a communist regime the warsaw orphan is the unforgettable story of elzbieta and romans perilous attempt to reclaim the love and life they once knew intensely movingbravo kelly rimmer im going to be recommending this book to everyone i know karen robards new york times bestselling author of the black swan of paris,historical fiction,2021,kelly rimmer,kelly rimmers heartstopping rendering war nazioccupied poland captivate reader page pagelisa wingate 1 new york time bestselling author surefire hit heartbreaking hopeful story family duty love salvation resistance warsaw orphan thoughtful beautiful novel kristin harmel new york time bestselling author book lost name inspired reallife heroine saved thousand jewish child wwii warsaw orphan kelly rimmers anticipated novel since bestselling sensation thing say spring 1942 young elzbieta rabinek aware swiftly growing discord beyond courtyard comfortable warsaw home fondness german patrol street impose curfew never given much thought go behind wall contain jewish neighbor know well german brutalityand reason must conceal true identity befriending sara nurse share apartment floor elzbieta make discovery propels dangerous world deception heroism using saras credential smuggle child ghetto brings elzbieta facetoface reality war behind wall plight gorka family must make impossible decision give newborn daughter watch starve roman gorka final injustice stir rebellion zeal even newfound love elzbieta suppress recklessness brings unwanted attention saras cause unwittingly putting elzbieta family harm way one violent act threatens destroy chance freedom forever nazi occupation threat communist regime warsaw orphan unforgettable story elzbieta roman perilous attempt reclaim love life knew intensely movingbravo kelly rimmer im going recommending book everyone know karen robards new york time bestselling author black swan paris
snare of serpents,davina glentyres happy young life in edinburgh was shattered by her mothers death and made even more unbearable by her fathers sudden marriage to her new governess her one joy was her friendship with a poor but charming student jamie whom her father forbade her to wed when her father suddenly died from arsenic poisoning the means motive and opportunity all pointed to davina herself alone she escaped to the colonies in africa but with the boer war came danger and the return of dark secrets from the past that threatened her reputation and her very life   ,historical fiction,1990,victoria holt,davina glentyres happy young life edinburgh shattered mother death made even unbearable father sudden marriage new governess one joy friendship poor charming student jamie father forbade wed father suddenly died arsenic poisoning mean motive opportunity pointed davina alone escaped colony africa boer war came danger return dark secret past threatened reputation life
the dark room,the dark room tells three stories that of helmut a young photographer in the 1930s lore a 12yearold girl at the end of the war and micha a young school teacher half a century later between them the reader traces the legacy of the nazi period on the lives of ordinary germans,historical fiction,2002,rachel seiffert,dark room tell three story helmut young photographer 1930s lore 12yearold girl end war micha young school teacher half century later reader trace legacy nazi period life ordinary german
hawkwoods sword,one of the finest writers of historical fiction in the world ben kane 1368 france spain and england prepare for war in italy the pope and the visconti princes are battling for bloody supremacy the worst years of sir william golds life are about to begin leaving the side of his commander sir john hawkwood william embarks on a new journey that will bring him fame and favour  until a heartbreaking personal tragedy leads him to put down his sword but men of war cant stay out of battle for long gold yearns to return to italy and rejoin hawkwood only now the game of the italian princes is changing and as chaos descends gold must finally decide who he stands for        praise for christian cameron the master of historical fiction sunday times a storyteller at the height of his powers historical novel society superb the times a swordslash above the rest irish examiner,historical fiction,2022,christian cameron,one finest writer historical fiction world ben kane 1368 france spain england prepare war italy pope visconti prince battling bloody supremacy worst year sir william gold life begin leaving side commander sir john hawkwood william embarks new journey bring fame favour heartbreaking personal tragedy lead put sword men war cant stay battle long gold yearns return italy rejoin hawkwood game italian prince changing chaos descends gold must finally decide stand praise christian cameron master historical fiction sunday time storyteller height power historical novel society superb time swordslash rest irish examiner
painting the light,from the critically acclaimed author of monticello and the widows war comes a vividly rendered historical novel of love loss and reinvention set on marthas vineyard at the turn of the nineteenth century marthas vineyard 1898 in her first life ida russell had been a painter five years ago she had confidently walked the halls of bostons renowned museum school enrolling in art courses that were once deemed unthinkable for women to take and showing a budding talent for watercolors but no more ida russell is now ida pease resident of a seaside farm on vineyard haven and wife to ezra a oncecharming man who has become an inattentive and altogether unreliable husband ezra runs a salvage company in town with his business partner mose barstow but he much prefers their nightly card games at the local pub to his work in their boston office not to mention filling haystacks and tending sheep on the farm at homeduties that have fallen to ida and their parttime farmhand lem ida meanwhile has left her love for painting behind it comes as no surprise to ida when ezra is hours late for a thanksgiving dinner only to leave abruptly for another supposedly urgent business trip to boston but then something truly unthinkable happens a storm strikes and the portland sinks ezra and mose are presumed dead in the wake of this shocking tragedy ida must settle the affairs of ezras estate a task that brings her to a familiar face from her pasthenry barstow moses brother and executor as she joins henry in sifting through the remnants of her husbands life and work ida must learn to separate truth from lies and what matters from what doesnt painting the light is an arresting portrait of a woman and a considered meditation on loss and love,historical fiction,2021,sally cabot gunning,critically acclaimed author monticello widow war come vividly rendered historical novel love loss reinvention set marthas vineyard turn nineteenth century marthas vineyard 1898 first life ida russell painter five year ago confidently walked hall boston renowned museum school enrolling art course deemed unthinkable woman take showing budding talent watercolor ida russell ida pea resident seaside farm vineyard wife ezra oncecharming man become inattentive altogether unreliable husband ezra run salvage company town business partner mose barstow much prefers nightly card game local pub work boston office mention filling haystack tending sheep farm homeduties fallen ida parttime farmhand lem ida meanwhile left love painting behind come surprise ida ezra hour late thanksgiving dinner leave abruptly another supposedly urgent business trip boston something truly unthinkable happens storm strike portland sink ezra mose presumed dead wake shocking tragedy ida must settle affair ezra estate task brings familiar face pasthenry barstow moses brother executor join henry sifting remnant husband life work ida must learn separate truth lie matter doesnt painting light arresting portrait woman considered meditation loss love
the viscount who loved me, 1 new york times bestseller the inspiration for season two of bridgerton a series created by shondaland for netflix from 1 new york times bestselling author julia quinn the story of anthony bridgerton in the second of her beloved regencyset novels featuring the charming powerful bridgerton family anthonys story this time the gossip columnists have it wrong londons most elusive bachelor anthony bridgerton hasnt just decided to marryhes even chosen a wife the only obstacle is his intendeds older sister kate sheffieldthe most meddlesome woman ever to grace a london ballroom the spirited schemer is driving anthony mad with her determination to stop the betrothal but when he closes his eyes at night kates the woman haunting his increasingly erotic dreams contrary to popular belief kate is quite sure that reformed rakes do not make the best husbandsand anthony bridgerton is the most wicked rogue of them all kates determined to protect her sisterbut she fears her own heart is vulnerable and when anthonys lips touch hers shes suddenly afraid she might not be able to resist the reprehensible rake herself,historical fiction,2022,julia quinn,1 new york time bestseller inspiration season two bridgerton series created shondaland netflix 1 new york time bestselling author julia quinn story anthony bridgerton second beloved regencyset novel featuring charming powerful bridgerton family anthony story time gossip columnist wrong london elusive bachelor anthony bridgerton hasnt decided marryhes even chosen wife obstacle intendeds older sister kate sheffieldthe meddlesome woman ever grace london ballroom spirited schemer driving anthony mad determination stop betrothal close eye night kates woman haunting increasingly erotic dream contrary popular belief kate quite sure reformed rake make best husbandsand anthony bridgerton wicked rogue kates determined protect sisterbut fear heart vulnerable anthony lip touch shes suddenly afraid might able resist reprehensible rake
the rice kings,as the only son of a wealthy mill owner in whitehaven cumbria england jonathan lucas is destined to become a millwright and a mill owner in northeast england like his father john lucas he lives a protected life behind the walls of his fathers reputation and business success the challenges of coming of age in the 1760s are soon approached by the young jonathan as he enters an apprenticeship with his uncle william lucas he travels to manchester which is far away from his mother and fathers loving care he encounters many adventures as he learns and loves his way toward adulthood and hopefully a successful career of his own jonathan must choose between two beautiful girls that enter his life in a most memorable way one is the epitome of beauty grace and refinement she is the lady that most women aspired to become in eighteenth century great britain the other is a fiery auburnheaded beauty that stirs passions deep within the men who meet her her familys background gives his parents pause concerning this most desirable woman the decision is not an easy one but one that has to be made  sooner or later the american revolution profoundly affects the fortunes of jonathans family as well as all businessmen in britain america and most of the trading nations of the world it prematurely ends the apprenticeship that he was serving with his fathers brother william it also brings a threat from an old friend of the family that is most unexpected and unwelcomed returning to whitehaven jonathan takes a wife and starts a family of his own tragedy strikes and changes the course of his life thrust into a new role as a father and head of his own household jonathan continues to be confronted with difficulties in both his business and personal life he is offered an opportunity that would not only change his future but change the world life love and destiny are put to the test as jonathan comes face to face with what could be catastrophe or incredible fame and fortune this story is the first in a series of books that will follow this important genius and his descendants as they move from merry old england to the low country of antebellum south carolina to become the rice kings follow jonathan as the abrupt changes of his world throw everything he knows into turmoil check out the website davidhenrylucasbookscom,historical fiction,2014,david lucas,son wealthy mill owner whitehaven cumbria england jonathan lucas destined become millwright mill owner northeast england like father john lucas life protected life behind wall father reputation business success challenge coming age 1760s soon approached young jonathan enters apprenticeship uncle william lucas travel manchester far away mother father loving care encounter many adventure learns love way toward adulthood hopefully successful career jonathan must choose two beautiful girl enter life memorable way one epitome beauty grace refinement lady woman aspired become eighteenth century great britain fiery auburnheaded beauty stir passion deep within men meet family background give parent pause concerning desirable woman decision easy one one made sooner later american revolution profoundly affect fortune jonathan family well businessmen britain america trading nation world prematurely end apprenticeship serving father brother william also brings threat old friend family unexpected unwelcomed returning whitehaven jonathan take wife start family tragedy strike change course life thrust new role father head household jonathan continues confronted difficulty business personal life offered opportunity would change future change world life love destiny put test jonathan come face face could catastrophe incredible fame fortune story first series book follow important genius descendant move merry old england low country antebellum south carolina become rice king follow jonathan abrupt change world throw everything know turmoil check website davidhenrylucasbookscom
bleak house,it would have been far better if you had never been born esther at 14 has never known love determined to live well earn some love and overcome the shadow of her birth she takes her first steps into an unknown world a family curse a manipulating lawyer poverty and secrets threaten to destroy esthers world are the walls of bleak house strong enough to protect her and her new friends from such powerful forces the reader will be caught up in an unfolding mystery full of surprises perhaps the biggest mystery of all is who is nemo,historical fiction,2019,charles dickens,would far better never born esther 14 never known love determined live well earn love overcome shadow birth take first step unknown world family curse manipulating lawyer poverty secret threaten destroy esther world wall bleak house strong enough protect new friend powerful force reader caught unfolding mystery full surprise perhaps biggest mystery nemo
the godmothers,big little lies set in world war ii era greenwich village an irresistible suspenseful novel about four women who marry into an elegant prosperous italian family and then must take charge of the familys business when their husbands are forced to leave them during the war meet the godmothers filomena is a clever and resourceful war refugee with a childhood secret who comes to america to wed mario the familys favored son amie a beautiful and dreamy french girl from upstate new york escapes an abusive husband after falling in love with johnny the oldest of the brothers lucy a toughasnails irish nurse ran away from a strict girls home and marries frankie the sensuous middle son and the glamorous petrina the familys only daughter graduates with honors from barnard college despite a past trauma that nearly caused a family scandal all four women become godmothers to one anothers children finding hope and shelter in this prosperous family and their sumptuous greenwich village home and enjoying new york life with its fine dining opulent department stores and sophisticated nightclubs but the womens secret pasts lead to unforeseen consequences and betrayals that threaten to unravel all their carefully laid plans and when their husbands are forced to leave them during the second world war the godmothers must unexpectedly contend with notorious gangsters like frank costello and lucky luciano who run the streets of new york city refusing to merely imitate the world of men the four godmothers learn to put aside their differences and grudges so that they can work together to protect their loved ones and to find their own unique paths to success love forgiveness and the futures theyve always dreamed of,historical fiction,2021,camille aubray,big little lie set world war ii era greenwich village irresistible suspenseful novel four woman marry elegant prosperous italian family must take charge family business husband forced leave war meet godmother filomena clever resourceful war refugee childhood secret come america wed mario family favored son amie beautiful dreamy french girl upstate new york escape abusive husband falling love johnny oldest brother lucy toughasnails irish nurse ran away strict girl home marries frankie sensuous middle son glamorous petrina family daughter graduate honor barnard college despite past trauma nearly caused family scandal four woman become godmother one anothers child finding hope shelter prosperous family sumptuous greenwich village home enjoying new york life fine dining opulent department store sophisticated nightclub womens secret past lead unforeseen consequence betrayal threaten unravel carefully laid plan husband forced leave second world war godmother must unexpectedly contend notorious gangster like frank costello lucky luciano run street new york city refusing merely imitate world men four godmother learn put aside difference grudge work together protect loved one find unique path success love forgiveness future theyve always dreamed
a dangerous game,international bestselling author mandy robotham returns with a brand new tale set in 1950s london a gripping story of revenge guilt and redemption sweetened by love daisy wood author of the forgotten bookshop in paris a truly brilliant readi couldnt put it down suzanne kelman author of the bookseller of paris london 1952 seven years after the chaotic aftermath of world war ii london has is coming alive again with jazz clubs and flickering cinema awnings lighting up the night sky but for widowed helen dexie dexter shes still a woman in a mans world she longs to prove herself as an officer in the london metropolitan police yet shes stuck intervening in domestics and making tea for her male colleagues then harri schroder arrives seconded from hamburg to the met haunted by the loss of his wife and child harri is unlike any man dexie has ever known compassionate and sharpwitted he sees her not as a threat but as an intelligent canny officer full of potential and when harri is tasked with hunting down a nazi war criminalturnedrespectedbusinessman with connections to the upper echelons of british society its dexie he turns to for help but as their bond deepens a deadly fog engulfs london dexie and harri must expose the fugitive before he vanishes risking everything for justice  and each other the new gripping and heartwrenching historical fiction novel from international bestseller mandy robotham perfect for fans of kate quinn and kristin hannah readers love a dangerous game this is a book with characters so welldrawn you feel you know them add thrills and a dash of romance and you have a book you cant put down loved it deborah swift author of the shadow network unique and spellbinding i couldnt put it down melanie hudson author of the paris affair well written atmospheric suspenseful with fully developed characters this was a five star read for meanother one i couldnt put down  this story kept me up late at night i wanted to read just one more chapter until i couldnt  mandy robotham takes the reader down this chilling path with twists and turns that keep you guessing and holding your breath  a cleverly crafted mystery thriller set in the great smog of london in the 1950s  really enjoyed it from start to finish and captured the era brilliantly recommended  dont miss this one id give it 10 stars if i could  if you like historical fiction mixed with thriller espionage this book will be for you ,historical fiction,2024,mandy robotham,international bestselling author mandy robotham return brand new tale set 1950s london gripping story revenge guilt redemption sweetened love daisy wood author forgotten bookshop paris truly brilliant readi couldnt put suzanne kelman author bookseller paris london 1952 seven year chaotic aftermath world war ii london coming alive jazz club flickering cinema awning lighting night sky widowed helen dexie dexter shes still woman man world longs prove officer london metropolitan police yet shes stuck intervening domestic making tea male colleague harri schroder arrives seconded hamburg met haunted loss wife child harri unlike man dexie ever known compassionate sharpwitted see threat intelligent canny officer full potential harri tasked hunting nazi war criminalturnedrespectedbusinessman connection upper echelon british society dexie turn help bond deepens deadly fog engulfs london dexie harri must expose fugitive vanishes risking everything justice new gripping heartwrenching historical fiction novel international bestseller mandy robotham perfect fan kate quinn kristin hannah reader love dangerous game book character welldrawn feel know add thrill dash romance book cant put loved deborah swift author shadow network unique spellbinding couldnt put melanie hudson author paris affair well written atmospheric suspenseful fully developed character five star read meanother one couldnt put story kept late night wanted read one chapter couldnt mandy robotham take reader chilling path twist turn keep guessing holding breath cleverly crafted mystery thriller set great smog london 1950s really enjoyed start finish captured era brilliantly recommended dont miss one id give 10 star could like historical fiction mixed thriller espionage book
quinx or the rippers tale,i tiden efter 2 verdenskrig samles en flok sigøjnere med andre i avignon for at fejre åbningen af den mystiske hule der skal indeholde tempelherrernes skat,historical fiction,1985,lawrence durrell,tiden efter 2 verdenskrig samles en flok sigøjnere med andre avignon fejre åbningen af den mystiske hule der skal indeholde tempelherrernes skat
the sweet smell of decay,previously published by beautiful books but now reissued by ab alongside harry lytles continuing adventures,historical fiction,2014,paul lawrence,previously published beautiful book reissued ab alongside harry lytles continuing adventure
odysseus,the first title in an epic series following the life of odysseus a man becomes a hero    as a young boy in ithaca odysseus listens in wonder to his grandfather autolykos a man feared by many across the land as a ruthless fighter he learns of his heritage and a lifelong passion is sparked to become an adventurer and warrior in mycenae he meets king eurystheus and learns the terrible story of hercules  the man with godlike strength who slaughtered his family and punished by the king to undertake impossible tasks to earn absolution but is eurystheus the man he says he is when a child comes to odysseus in the middle of the night with another very disturbing version of what happened that fateful night odysseus embarks on the first of his extraordinary quests    so begins the epic story of odysseus the first of two volumes an adventure of love war courage and heroism weaving from a small rocky island in greece to the mighty fall of troy,historical fiction,2013,valerio massimo manfredi,first title epic series following life odysseus man becomes hero young boy ithaca odysseus listens wonder grandfather autolykos man feared many across land ruthless fighter learns heritage lifelong passion sparked become adventurer warrior mycenae meet king eurystheus learns terrible story hercules man godlike strength slaughtered family punished king undertake impossible task earn absolution eurystheus man say child come odysseus middle night another disturbing version happened fateful night odysseus embarks first extraordinary quest begin epic story odysseus first two volume adventure love war courage heroism weaving small rocky island greece mighty fall troy
mr pipes comes to america,this novel is the third volume in the mr pipes series it provides readers with a wealth of inspiring information regarding the lives of famous american hymn writers annie and drew continue their actionpacked adventures as mr pipes visits america and teaches them about great hymns from american history grades 710,historical fiction,2007,douglas bond,novel third volume mr pipe series provides reader wealth inspiring information regarding life famous american hymn writer annie drew continue actionpacked adventure mr pipe visit america teach great hymn american history grade 710
enemies of the heart,love passion and betrayal will tear one family apart,historical fiction,2008,rebecca dean,love passion betrayal tear one family apart
black mountain,eerie and compelling christos tsiolkas beginning in the sulphur mines of sicily over a century ago black mountain takes you on a journey through time and back again when a boy sold into slavery finds the courage to escape his brutal life he is saved by a mysterious stranger who raises the boy as his own renamed cesare montenero after sicilys own black mountain mount etna the boy grows up to discover that his rescue was no accident that his physical strength is unnatural and that he has more in common with his saviour than he could have imagined and when he meets the enigmatic celeste he suspects for the first time that he many not be alone based on factual events and ranging through italy paris and the rural fringes of coastal australia black mountain is a haunting exploration of what it means to be human,historical fiction,2014,venero armanno,eerie compelling christos tsiolkas beginning sulphur mine sicily century ago black mountain take journey time back boy sold slavery find courage escape brutal life saved mysterious stranger raise boy renamed cesare montenero sicily black mountain mount etna boy grows discover rescue accident physical strength unnatural common saviour could imagined meet enigmatic celeste suspect first time many alone based factual event ranging italy paris rural fringe coastal australia black mountain haunting exploration mean human
kings fool,a remarkable insider tale of the intrigue ruthlessness and majesty of the tudor court,historical fiction,2009,margaret campbell barnes,remarkable insider tale intrigue ruthlessness majesty tudor court
flashman in the great game,one of literatures most delightful rakes is back in another tale of rollicking adventure and tantalizing seduction the plucky flashmans latest escapades are sure to entertain devotees as well as attract new aficionados,historical fiction,1975,george macdonald fraser,one literature delightful rake back another tale rollicking adventure tantalizing seduction plucky flashmans latest escapade sure entertain devotee well attract new aficionado
late harvest,this passionate west country smuggling saga set in the early 19thcentury is an intriguing departure for tudor mystery writer fiona buckley exmoor 1800 when farmers daughter peggy shawe meets the charismatic ralph duggan son of a socalled free trader its love at first sight determined to prevent the match peggys widowed mother sends her daughter to live with the duggans for six weeks believing she will be put off marriage to ralph when she discovers what life is like among a smuggling family matters take a dramatic turn however when ralphs brother philip is suspected of murder and ralph and philip are despatched to distant relatives across the atlantic heartbroken peggy vows to be reunited with her lover one day but it will be several years before she and ralph are destined to meet again  and in very different circumstances   ,historical fiction,2017,fiona buckley,passionate west country smuggling saga set early 19thcentury intriguing departure tudor mystery writer fiona buckley exmoor 1800 farmer daughter peggy shawe meet charismatic ralph duggan son socalled free trader love first sight determined prevent match peggys widowed mother sends daughter live duggans six week believing put marriage ralph discovers life like among smuggling family matter take dramatic turn however ralphs brother philip suspected murder ralph philip despatched distant relative across atlantic heartbroken peggy vow reunited lover one day several year ralph destined meet different circumstance
coming of the storm,at first chickashaw trader black shell is intrigued by the white invaders but he soon learns of their brutality and danger,historical fiction,2010,kathleen oneal gear w michael gear,first chickashaw trader black shell intrigued white invader soon learns brutality danger
the betrayals,dizzyingly wonderful    a perfectly constructed work of fiction with audacious twists    collins plays her own game here with perfect skill  the times uk an intricate and utterly spellbinding literary epic brimming with enchantment mystery and dark secrets from the highly acclaimed author of the 1 international bestseller the binding if your life was based on a lie would you risk it all to tell the truth at montverre an ancient and elite academy hidden high in the mountains societys best and brightest are trained for excellence in the grand jeuthe great gamean arcane and mysterious competition that combines music art math poetry and philosophy léo martin once excelled at montverre but lost his passion for scholarly pursuits after a violent tragedy he turned to politics instead and became a rising star in the ruling party until a small act of conscience cost him his career now he has been exiled back to montverre his fate uncertain but this rarified world of learning léo once loved is not the same place he remembers once the exclusive bastion of men montverres most prestigious post is now held by a woman claire dryden also known as the magister ludi the head of the great game at first léo feels an odd attraction to the magistera mysterious eerily familiar connectionthough hes sure theyve never met before as the legendary midsummer game approachesthe climax of the academys yearlongburied secrets rise to the surface and centuriesold traditions are shockingly overturned a highly imaginative and intricately crafted literary epic the betrayals confirms bridget collins as one of the most inventive and exquisite new voices in speculative fiction,historical fiction,2021,bridget collins,dizzyingly wonderful perfectly constructed work fiction audacious twist collins play game perfect skill time uk intricate utterly spellbinding literary epic brimming enchantment mystery dark secret highly acclaimed author 1 international bestseller binding life based lie would risk tell truth montverre ancient elite academy hidden high mountain society best brightest trained excellence grand jeuthe great gamean arcane mysterious competition combine music art math poetry philosophy léo martin excelled montverre lost passion scholarly pursuit violent tragedy turned politics instead became rising star ruling party small act conscience cost career exiled back montverre fate uncertain rarified world learning léo loved place remembers exclusive bastion men montverres prestigious post held woman claire dryden also known magister ludi head great game first léo feel odd attraction magistera mysterious eerily familiar connectionthough he sure theyve never met legendary midsummer game approachesthe climax academy yearlongburied secret rise surface centuriesold tradition shockingly overturned highly imaginative intricately crafted literary epic betrayal confirms bridget collins one inventive exquisite new voice speculative fiction
mary ann sate imbecile,i would place it among the classics of this century and the last sally bayley author of girl with dove if you tell a story oft enough so it become true as the nineteenth century draws towards a close mary ann sate an elderly maidservant sets out to write her truth she writes of the valleys that she loves of the poisonous rivalry between her employers two sons and of a terrible choice which tore her world apart her haunting and poignant story brings to life a period of strife and rapid social change and evokes the struggles of those who lived in poverty and have been forgotten by history in this fictional found memoir novelist alice jolly uses the astonishing voice of mary ann to recreate history as seen from a womans perspective and to give joyful poetic voice to the silenced women of the past,historical fiction,2018,alice jolly,would place among classic century last sally bayley author girl dove tell story oft enough become true nineteenth century draw towards close mary ann sate elderly maidservant set write truth writes valley love poisonous rivalry employer two son terrible choice tore world apart haunting poignant story brings life period strife rapid social change evokes struggle lived poverty forgotten history fictional found memoir novelist alice jolly us astonishing voice mary ann recreate history seen woman perspective give joyful poetic voice silenced woman past
